Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1985,3,7,4,4,4,6,9,9,10,8,2,3
1986,2,2,1,2,8,5,6,5,8,4,2,2
1987,5,2,4,1,6,2,10,2,4,6,1,2
1988,2,6,4,3,6,12,20,26,15,9,7,1
1989,10,8,5,5,5,9,32,12,13,4,5,4
1990,8,6,4,7,7,13,13,13,9,13,6,6
1991,3,2,8,5,9,11,26,24,13,6,4,11
1992,8,7,11,7,4,13,12,14,17,7,5,4
1993,6,6,1,3,10,9,10,11,8,10,9,16
1994,9,3,8,4,5,6,18,22,9,8,12,3
1995,7,4,4,6,9,9,10,13,27,13,6,6
1996,11,7,3,5,7,7,15,8,12,8,8,7
1997,12,6,12,6,6,23,24,23,10,17,9,11
1998,4,10,18,19,25,29,16,15,16,14,11,2
1999,1,10,4,6,7,8,12,12,15,7,4,8
2000,4,3,7,2,9,7,6,13,12,13,15,7
2001,9,7,10,10,12,11,27,22,13,16,11,24
2002,18,16,12,18,20,37,39,34,16,17,18,15
2003,37,26,21,22,20,28,35,38,20,13,22,15
2004,18,14,20,15,11,28,21,20,11,10,13,13
2005,15,9,15,7,12,22,16,22,21,16,9,7
2006,15,21,19,26,24,21,35,21,11,18,14,6
2007,19,3,16,18,26,29,29,33,19,21,14,15
2008,15,14,12,9,14,11,20,25,16,13,15,16
2009,12,18,8,8,10,7,23,17,16,9,19,9
2010,14,13,17,9,17,15,28,9,17,13,16,9
2011,11,8,15,9,6,19,14,18,2,6,8,8
2012,6,9,10,8,10,10,17,21,14,6,7,6
2013,14,9,10,6,12,6,6,10,5,8,8,8
2014,6,5,5,7,7,11,12,13,7,14,8,7
2015,4,8,11,7,11,13,14,7,3,13,5,6
2016,11,3,9,13,5,12,14,4,11,12,8,11
2017,9,9,8,11,10,12,8,17,12,6,15,6
2018,11,13,17,13,18,15,18,12,12,16,7,7
2019,8,7,8,9,8,16,10,11,12,21,10,22
2020,13,10,18,16,13,16,12,9,2,0,0,0
